protocol,Durbin-Watson statistic,Autocorrelation,S&P 500 coefficient,S&P 500 p-value
Starknet,0.7357513117439504,Positive,70059.62420108524,0.2757152215530729
Taiko,0.6457866364128857,Positive,1426.4442351029165,0.7378041272557808
ethena,0.7259467307227383,Positive,-785650.3455155878,0.007238007010861524
ether,0.667319786160658,Positive,-946157.4854393746,0.08175176509510752
renzo,1.2762559964528157,Positive,628797.3473551269,0.11889289562590032
eigenlayer,1.3595619758841335,Positive,-7646832.965683455,1.242416666854867e-05
kamino,0.979947700126933,Positive,34406.0897235226,0.8467340355714499
Manta,0.26824743570845333,Positive,-238501.74651805396,0.026551382708755795
nftperp,0.44860979763118775,Positive,1401.107568425467,0.4369876344276903
parcl,0.9291693953544874,Positive,216718.41019005148,3.912372741305675e-09
ekubo,0.8934266238244628,Positive,30324.985138334498,7.605324922517001e-05
Arbitrum,0.9205905044428729,Positive,1111620.5318232952,8.75085927017554e-06
Optimism,0.5469651422139825,Positive,-221527.1767117235,0.01353734653335529
zeus-finance,0.0008620979824182691,Positive,-8.34783397962724e-09,0.9996903862779138
wormhole-portal,1.305336616799147,Positive,1021493.484456345,0.0004284744591665138
Sei,0.5935648642428525,Positive,-11756.323476972695,0.16900903874989215
zkSync,2.160311585967248,No evidence,-247640.27473280695,0.5743246849504985
hydro,0.9746072807777729,Positive,21001.603094915532,0.1502589630119518
zetamarkets,1.798694991413949,No evidence,16.76828347304948,0.7764685218130675
zircuit-staking,0.7248547925580612,Positive,-282935.6987152663,0.4246692109794269
drift,0.7820756783023792,Positive,49094.15294888802,0.21202905410949213
cellana,0.5116292702083558,Positive,-19167.22254576398,0.26421769054643995
Mode,1.2400963887561411,Positive,-67950.63199517023,0.0012295648841188515
